Die	O
zweite	O
Frau	O
1	O
.	O
Ueber	O
dem	O
Teich	Lebensraum
,	O
hoch	O
im	O
blauen	O
Frühlingshimmel	O
,	O
hing	O
lange	O
und	O
unbeweglich	O
ein	O
dunkler	O
Punkt	O
.	O
Das	O
blanke	O
Gewässer	Lebensraum
wimmelte	O
von	O
Fischen	Tier
";"	O
es	O
lag	O
immer	O
so	O
einsam	O
,	O
und	O
wehrlos	O
da	O
,	O
und	O
die	O
alten	O
,	O
nahe	O
an	O
seinen	O
Spiegel	O
gerückten	O
Baumriesen	Pflanze
konnten	O
auch	O
nicht	O
helfen	O
,	O
wenn	O
der	O
graugefiederte	Tier
Dieb	Tier
,	O
jäh	O
aus	O
den	O
Lüften	O
herabstürzend	O
,	O
nach	O
Herzenslust	O
das	O
silberschuppige	Tier
Leben	Tier
im	O
Wasser	Lebensraum
würgte	O
.	O
Heute	O
nun	O
traute	O
er	O
sich	O
nicht	O
herab	O
,	O
denn	O
es	O
waren	O
Menschen	O
da	O
,	O
große	O
und	O
kleine	O
,	O
und	O
die	O
kleinen	O
schrieen	O
und	O
jubelten	O
so	O
ungebärdig	O
und	O
warfen	O
im	O
kindischen	O
Vermessen	O
ihre	O
bunten	O
Bälle	O
nach	O
ihm	O
";"	O
rastende	O
Pferde	Tier
wieherten	O
und	O
stampften	O
das	O
Ufergeröll	Lebensraum
,	O
und	O
durch	O
die	O
Baumwipfel	Pflanze
quollen	O
Rauchwolken	O
und	O
fuhren	O
mit	O
zuckenden	O
Armen	O
gen	O
Himmel	O
.	O
Menschenlärm	O
und	O
Rauch	O
–	O
das	O
war	O
nichts	O
für	O
den	O
heimtückisch	O
hereinbrechenden	O
Räuber	Tier
,	O
nichts	O
für	O
den	O
Segler	Tier
des	Tier
kristallenen	Tier
Aethers	Tier
";"	O
mißmutig	O
zog	O
der	O
Reiher	Tier
immer	O
weitere	O
Kreise	O
und	O
verschwand	O
zuletzt	O
unter	O
einem	O
gellenden	O
Kinderhurra	O
so	O
spurlos	O
,	O
als	O
sei	O
sein	O
gewichtiger	O
Körper	O
zerblasen	O
und	O
zerstoben	O
.	O
Am	O
linken	O
Ufer	Lebensraum
des	O
Teiches	Lebensraum
lag	O
ein	O
Fischerdörfchen	O
–	O
acht	O
zerstreut	O
umherstehende	O
Häuser	O
,	O
beschattet	O
von	O
vielhundertjährigen	O
Linden	Pflanze
,	O
und	O
so	O
niedrig	O
,	O
daß	O
die	O
Strohdächer	O
gerade	O
zwischen	O
den	O
unteren	O
Baumästen	Pflanze
auftauchten	O
.	O
Mit	O
ihren	O
Hamen	O
und	O
Netzen	O
an	O
den	O
Wänden	O
,	O
den	O
schmalen	O
Holzbänkchen	O
neben	O
der	O
Thür	O
,	O
und	O
an	O
der	O
Südseite	O
flankiert	O
von	O
Weißdorn	Pflanze
und	O
Heckenrosen	Pflanze
,	O
hoben	O
sie	O
sich	O
zierlich	O
vom	O
weißen	O
Uferrande	Lebensraum
.	O
An	O
wuchtige	O
ostfriesische	O
Fischergestalten	O
durfte	O
man	O
dabei	O
freilich	O
nicht	O
denken	O
";"	O
auch	O
war	O
es	O
gut	O
,	O
daß	O
der	O
ungeheure	O
Park	Lebensraum
mit	O
seinen	O
beträchtlichen	O
Waldstrecken	Lebensraum
die	O
dahinterliegende	O
Residenz	O
vollkommen	O
verdeckte	O
–	O
man	O
glaubte	O
an	O
ländliches	O
Leben	O
und	O
Treiben	O
,	O
bis	O
eine	O
der	O
schmalen	O
Hausthüren	O
aufging	O
.	O
Hätte	O
der	O
deutsche	O
Fürst	O
gewußt	O
,	O
daß	O
das	O
harmlose	O
Klein	O
-	O
Trianon	O
der	O
glänzenden	O
Königin	O
von	O
Frankreich	O
schließlich	O
den	O
Kopf	O
kosten	O
sollte	O
,	O
so	O
wäre	O
das	O
Fischerdörfchen	O
sicher	O
nie	O
gebaut	O
worden	O
";"	O
aber	O
er	O
war	O
nicht	O
prophetischen	O
Geistes	O
gewesen	O
,	O
und	O
so	O
stand	O
die	O
anmutige	O
Nachbildung	O
seit	O
beinahe	O
hundert	O
Jahren	O
am	O
Parkteich	Lebensraum
–	O
die	O
primitivste	O
Idylle	O
von	O
außen	O
,	O
und	O
im	O
Innern	O
das	O
verwöhnteste	O
Menschenkind	O
umschmeicheln	O
.	O
Der	O
Fuß	O
,	O
an	O
dem	O
der	O
Uferkies	O
hing	O
,	O
trat	O
direkt	O
auf	O
schwellende	O
Teppiche	O
";"	O
dicke	O
Seidenstoffe	O
glänzten	O
auf	O
den	O
Polstermöbeln	O
und	O
drapierten	O
die	O
Wände	O
,	O
da	O
und	O
dort	O
unter	O
breiten	O
Spiegelflächen	O
