Das	O
Feldhuhn	Tier
Viel	O
zu	O
lange	O
hält	O
der	O
Winter	O
in	O
diesem	O
Jahre	O
an	O
.	O
Am	O
ersten	O
November	O
trat	O
er	O
die	O
Herrschaft	O
an	O
und	O
hielt	O
das	O
Zepter	O
in	O
harten	O
Händen	O
.	O
Unerbittlich	O
war	O
er	O
";"	O
kaum	O
einmal	O
erlaubte	O
er	O
der	O
Sonne	O
,	O
die	O
Schneedecke	O
von	O
dem	O
Felde	Lebensraum
fortzunehmen	O
,	O
und	O
wenn	O
es	O
geschah	O
,	O
dann	O
blies	O
der	O
Frostwind	O
den	O
nächsten	O
Tag	O
,	O
und	O
eine	O
Eiskruste	O
bildete	O
sich	O
auf	O
dem	O
Acker	Lebensraum
.	O
Erbärmlich	O
ging	O
es	O
den	O
beiden	O
Völkern	O
Feldhühner	Tier
,	O
die	O
im	O
Herbste	O
übriggeblieben	O
waren	O
.	O
Das	O
eine	O
war	O
stark	O
beschossen	O
worden	O
";"	O
zwölf	O
Stück	O
zählte	O
es	O
,	O
mit	O
der	O
Hälfte	O
ging	O
es	O
in	O
den	O
Winter	O
.	O
Ein	O
halbes	O
Dutzend	O
Gelthühner	Tier
,	O
denen	O
im	O
Mai	O
die	O
Gelege	O
ausgemäht	O
waren	O
,	O
schlug	O
sich	O
dazu	O
und	O
wurde	O
nach	O
mancher	O
Beißerei	O
endlich	O
in	O
das	O
Volk	O
aufgenommen	O
,	O
aber	O
jetzt	O
zählt	O
das	O
Volk	Tier
nur	O
noch	O
fünf	O
Stück	O
,	O
und	O
die	O
meisten	O
davon	O
sind	O
Althühner	O
";"	O
die	O
jährigen	O
Hühner	Tier
sind	O
bis	O
auf	O
einen	O
jungen	O
Hahn	Tier
verschwunden	O
.	O
Denn	O
zu	O
bitter	O
war	O
der	O
Winter	O
und	O
zu	O
lang	O
.	O
Wochenlang	O
war	O
die	O
Schneedecke	O
so	O
hoch	O
und	O
so	O
hart	O
ihre	O
Kruste	O
,	O
daß	O
kein	O
Scharren	O
und	O
Picken	O
half	O
.	O
An	O
den	O
Hecken	O
und	O
an	O
den	O
Rainen	O
,	O
wo	O
ein	O
Halm	O
und	O
ein	O
Stengel	O
den	O
Schnee	O
durchbrach	O
,	O
suchten	O
die	O
Hühner	Tier
halbverhungert	O
nach	O
Samenkörnchen	Pflanze
im	O
Schnee	O
oder	O
pickten	O
springend	O
und	O
flatternd	O
die	O
Früchte	Pflanze
von	O
den	O
Rispen	Pflanze
,	O
mit	O
den	O
Spatzen	Tier
,	O
Haubenlerchen	Tier
und	O
Goldammern	Tier
lungerten	O
sie	O
auf	O
der	O
Landstraße	O
,	O
den	O
Pferdemist	O
durchstöbernd	O
,	O
in	O
der	O
Morgendämmerung	O
strichen	O
sie	O
bis	O
vor	O
die	O
Scheunen	O
,	O
wo	O
der	O
Ausputz	O
lag	O
,	O
der	O
vom	O
Dreschen	O
übrigblieb	O
,	O
und	O
krochen	O
am	O
hellichten	O
Tag	O
mitten	O
in	O
den	O
Gärten	Lebensraum
des	O
Dorfes	O
umher	O
.	O
Eine	O
Junghenne	Tier
,	O
die	O
vor	O
Hunger	O
so	O
schwach	O
war	O
,	O
daß	O
sie	O
die	O
Flügel	Tier
nicht	O
mehr	O
trugen	O
,	O
riß	O
der	O
Fuchs	Tier
über	O
Nacht	O
";"	O
eine	O
andere	O
,	O
deren	O
